scenario_id,method,time_mean,load_cv_mean,tail_ratio_mean,n
E0_cost_model_calibration,amjoin_style,5.263316899666666,0.3485249135894959,74.85741654282305,3
E0_cost_model_calibration,aqe_join_reselection,3.0834065920000007,0.3463281092095212,50.294793664373,3
E0_cost_model_calibration,full_skew_join,5.436587580666667,0.3485249135894959,77.46287649128375,3
E0_cost_model_calibration,hash_join,1.3415348693333333,0.34632796203383326,21.561358030958434,3
E0_cost_model_calibration,ours,3.6481792006666667,0.18951737893676138,738.6980137620266,3
E0_cost_model_calibration,rdma_onesize,4.301250282,0.19063224804405365,788.6018897612747,3
E0_cost_model_calibration,topology_aware_parallel_join,2.621785678666667,0.18899349219913583,554.1970670600255,3
E1_skew_strength,amjoin_style,5.2186064866,0.3485764010755961,66.41488936032621,15
E1_skew_strength,aqe_join_reselection,2.9622242765333335,0.3463102986415464,43.614121497497464,15
E1_skew_strength,full_skew_join,5.233165860600001,0.3485764010755961,66.6022394334024,15
E1_skew_strength,hash_join,1.2682169286666667,0.3464637857163199,18.695172296946275,15
E1_skew_strength,ours,3.5107257799333333,0.1906971229630089,610.3723182563494,15
E1_skew_strength,rdma_onesize,4.183265249133333,0.19147036314798546,680.52991834465,15
E1_skew_strength,topology_aware_parallel_join,2.5805792226666666,0.1899365123714302,483.482680384309,15
E2_workload_shape,amjoin_style,5.3157845557,0.34842846331017496,65.86183692999006,20
E2_workload_shape,aqe_join_reselection,3.1312171919000003,0.3463568461223935,40.99889947221311,20
E2_workload_shape,full_skew_join,5.363479195500001,0.34842846331017496,66.63678065756545,20
E2_workload_shape,hash_join,1.4256852741,0.34634636783979483,20.17170616333282,20
E2_workload_shape,ours,3.64470612405,0.19070450168549874,647.9308069026551,20
E2_workload_shape,rdma_onesize,4.354536134,0.19183475198815242,697.5572497684964,20
E2_workload_shape,topology_aware_parallel_join,2.6435663527499997,0.19026541597025368,496.01561596940684,20
E3_scale_and_parallelism,amjoin_style,6.648709405571428,0.3470985300230424,88.45568938492502,14
E3_scale_and_parallelism,aqe_join_reselection,4.007007298214285,0.34534953948707015,49.02877041402268,14
E3_scale_and_parallelism,full_skew_join,6.6501235602857145,0.3470985300230424,89.30200180546164,14
E3_scale_and_parallelism,hash_join,1.7448135799285718,0.344454811090834,26.948166615630907,14
E3_scale_and_parallelism,ours,4.516753420500001,0.188262382703441,846.7637039703102,14
E3_scale_and_parallelism,rdma_onesize,5.353394065285714,0.18931716768486392,899.6222424037672,14
E3_scale_and_parallelism,topology_aware_parallel_join,3.352171626714285,0.18750194790860134,649.6260425745362,14
E6_runtime_perturbation,amjoin_style,5.26256796925,0.3485044917123038,66.3118412043117,4
E6_runtime_perturbation,aqe_join_reselection,3.042459595,0.3463453114462487,44.658879586289125,4
E6_runtime_perturbation,full_skew_join,5.180153268250001,0.3485044917123038,65.2728894109872,4
E6_runtime_perturbation,hash_join,1.3179178765000001,0.3463451366049933,19.346042272744945,4
E6_runtime_perturbation,ours,3.60464417975,0.1906694198657714,639.6686064238195,4
E6_runtime_perturbation,rdma_onesize,4.360067636,0.19174696516606218,704.1282110273041,4
E6_runtime_perturbation,topology_aware_parallel_join,2.6382621325,0.1902629866327694,493.4689793081657,4
